x,y
128.6150891,35.8694164
128.6147535,35.8696405
128.6143707,35.8698071
128.6139552,35.8699097
128.6135232,35.8699443
128.6130912,35.8699097
128.6126757,35.8698071
128.6122929,35.8696405
128.6119573,35.8694164
128.6116819,35.8691432
128.6114772,35.8688316
128.6113512,35.8684934
128.6113087,35.8681418
128.6113512,35.8677901
128.6114773,35.867452
128.6116819,35.8671404
128.6119573,35.8668672
128.6122929,35.8666431
128.6126758,35.8664765
128.6130912,35.8663739
128.6135232,35.8663393
128.6139552,35.8663739
128.6143706,35.8664765
128.6147535,35.8666431
128.6150891,35.8668672
128.6153645,35.8671404
128.6155691,35.867452
128.6156951,35.8677901
128.6157377,35.8681418
128.6156952,35.8684934
128.6155691,35.8688316
128.6153645,35.8691432
128.6150891,35.869416
129.2087024,35.8393225
129.2083669,35.8395467
129.2079842,35.8397132
129.2075689,35.8398158
129.207137,35.8398504
129.2067052,35.8398158
129.2062899,35.8397132
129.2059072,35.8395467
129.2055717,35.8393225
129.2052964,35.8390493
129.2050919,35.8387377
129.2049659,35.8383996
129.2049234,35.8380479
129.2049659,35.8376963
129.2050919,35.8373581
129.2052965,35.8370465
129.2055718,35.8367733
129.2059072,35.8365492
129.2062899,35.8363826
129.2067052,35.83628
129.207137,35.8362454
129.2075689,35.83628
129.2079842,35.8363826
129.2083669,35.8365492
129.2087023,35.8367733
129.2089776,35.8370465
129.2091822,35.8373581
129.2093082,35.8376963
129.2093507,35.8380479
129.2093082,35.8383996
129.2091822,35.8387377
129.2089777,35.8390493
129.2087024,35.839322
128.5899349,35.8969101
128.5895992,35.8971343
128.5892162,35.8973008
128.5888006,35.8974034
128.5883684,35.897438
128.5879362,35.8974034
128.5875206,35.8973008
128.5871376,35.8971343
128.5868019,35.8969101
128.5865264,35.8966369
128.5863217,35.8963253
128.5861957,35.8959872
128.5861531,35.8956355
128.5861957,35.8952839
128.5863218,35.8949457
128.5865265,35.8946341
128.586802,35.894361
128.5871377,35.8941368
128.5875207,35.8939702
128.5879362,35.8938677
128.5883684,35.893833
128.5888006,35.8938677
128.5892161,35.8939702
128.5895991,35.8941368
128.5899348,35.894361
128.5902103,35.8946341
128.590415,35.8949457
128.5905411,35.8952839
128.5905837,35.8956355
128.5905411,35.8959872
128.5904151,35.8963253
128.5902103,35.8966369
128.5899349,35.89691
128.6206372,35.8958563
128.6203015,35.8960804
128.6199185,35.896247
128.619503,35.8963496
128.6190708,35.8963842
128.6186386,35.8963496
128.618223,35.896247
128.61784,35.8960804
128.6175043,35.8958563
128.6172288,35.8955831
128.6170241,35.8952715
128.6168981,35.8949333
128.6168555,35.8945817
128.6168981,35.89423
128.6170242,35.8938919
128.6172289,35.8935803
128.6175044,35.8933071
128.6178401,35.893083
128.6182231,35.8929164
128.6186386,35.8928138
128.6190708,35.8927792
128.6195029,35.8928138
128.6199185,35.8929164
128.6203015,35.893083
128.6206372,35.8933071
128.6209127,35.8935803
128.6211174,35.8938919
128.6212434,35.89423
128.621286,35.8945817
128.6212435,35.8949333
128.6211174,35.8952715
128.6209127,35.8955831
128.6206372,35.895856
128.6424434,35.8968197
128.6421077,35.8970439
128.6417247,35.8972104
128.6413092,35.897313
128.640877,35.8973476
128.6404448,35.897313
128.6400292,35.8972104
128.6396462,35.8970439
128.6393105,35.8968197
128.639035,35.8965466
128.6388303,35.8962349
128.6387043,35.8958968
128.6386617,35.8955451
128.6387043,35.8951935
128.6388303,35.8948553
128.6390351,35.8945437
128.6393106,35.8942706
128.6396462,35.8940464
128.6400292,35.8938799
128.6404448,35.8937773
128.640877,35.8937427
128.6413091,35.8937773
128.6417247,35.8938799
128.6421077,35.8940464
128.6424434,35.8942706
128.6427189,35.8945437
128.6429236,35.8948553
128.6430497,35.8951935
128.6430922,35.8955451
128.6430497,35.8958968
128.6429236,35.8962349
128.6427189,35.8965466
128.6424434,35.896819
128.5265894,35.8158056
128.526254,35.8160297
128.5258714,35.8161963
128.5254563,35.8162989
128.5250245,35.8163335
128.5245928,35.8162989
128.5241776,35.8161963
128.523795,35.8160297
128.5234596,35.8158056
128.5231844,35.8155324
128.5229799,35.8152208
128.522854,35.8148826
128.5228115,35.814531
128.522854,35.8141793
128.52298,35.8138412
128.5231845,35.8135296
128.5234597,35.8132564
128.523795,35.8130323
128.5241776,35.8128657
128.5245928,35.8127631
128.5250245,35.8127285
128.5254562,35.8127631
128.5258714,35.8128657
128.526254,35.8130323
128.5265893,35.8132564
128.5268645,35.8135296
128.5270691,35.8138412
128.527195,35.8141793
128.5272375,35.814531
128.527195,35.8148826
128.5270691,35.8152208
128.5268646,35.8155324
128.5265894,35.815805
128.5568866,35.8706561
128.556551,35.8708803
128.5561681,35.8710469
128.5557527,35.8711494
128.5553206,35.8711841
128.5548886,35.8711494
128.5544732,35.8710469
128.5540903,35.8708803
128.5537547,35.8706561
128.5534793,35.870383
128.5532747,35.8700713
128.5531486,35.8697332
128.5531061,35.8693815
128.5531487,35.8690299
128.5532747,35.8686918
128.5534793,35.8683801
128.5537547,35.868107
128.5540903,35.8678828
128.5544732,35.8677163
128.5548886,35.8676137
128.5553206,35.8675791
128.5557527,35.8676137
128.5561681,35.8677163
128.5565509,35.8678828
128.5568865,35.868107
128.5571619,35.8683801
128.5573666,35.8686918
128.5574926,35.8690299
128.5575352,35.8693815
128.5574926,35.8697332
128.5573666,35.8700713
128.557162,35.870383
128.5568866,35.870656
128.5745611,35.8740534
128.5742255,35.8742775
128.5738426,35.8744441
128.5734272,35.8745467
128.5729951,35.8745813
128.5725631,35.8745467
128.5721476,35.8744441
128.5717647,35.8742775
128.5714291,35.8740534
128.5711537,35.8737802
128.570949,35.8734686
128.570823,35.8731304
128.5707805,35.8727788
128.570823,35.8724271
128.5709491,35.872089
128.5711537,35.8717774
128.5714292,35.8715042
128.5717648,35.8712801
128.5721476,35.8711135
128.5725631,35.8710109
128.5729951,35.8709763
128.5734272,35.8710109
128.5738426,35.8711135
128.5742255,35.8712801
128.5745611,35.8715042
128.5748365,35.8717774
128.5750412,35.872089
128.5751672,35.8724271
128.5752098,35.8727788
128.5751672,35.8731304
128.5750412,35.8734686
128.5748365,35.8737802
128.5745611,35.874053
128.5602134,35.8760708
128.5598778,35.876295
128.5594949,35.8764615
128.5590794,35.8765641
128.5586473,35.8765987
128.5582153,35.8765641
128.5577998,35.8764615
128.5574169,35.876295
128.5570813,35.8760708
128.5568059,35.8757976
128.5566012,35.875486
128.5564752,35.8751479
128.5564326,35.8747962
128.5564752,35.8744446
128.5566012,35.8741064
128.5568059,35.8737948
128.5570813,35.8735217
128.5574169,35.8732975
128.5577998,35.8731309
128.5582153,35.8730284
128.5586473,35.8729937
128.5590794,35.8730284
128.5594948,35.8731309
128.5598777,35.8732975
128.5602133,35.8735217
128.5604888,35.8737948
128.5606934,35.8741064
128.5608195,35.8744446
128.560862,35.8747962
128.5608195,35.8751479
128.5606935,35.875486
128.5604888,35.8757976
128.5602134,35.87607
128.5733172,35.8818611
128.5729816,35.8820853
128.5725986,35.8822518
128.5721831,35.8823544
128.571751,35.8823891
128.5713189,35.8823544
128.5709034,35.8822518
128.5705205,35.8820853
128.5701849,35.8818611
128.5699094,35.881588
128.5697047,35.8812763
128.5695787,35.8809382
128.5695362,35.8805865
128.5695787,35.8802349
128.5697048,35.8798968
128.5699095,35.8795851
128.5701849,35.879312
128.5705205,35.8790878
128.5709035,35.8789213
128.5713189,35.8788187
128.571751,35.8787841
128.5721831,35.8788187
128.5725986,35.8789213
128.5729815,35.8790878
128.5733171,35.879312
128.5735926,35.8795851
128.5737973,35.8798968
128.5739233,35.8802349
128.5739659,35.8805865
128.5739233,35.8809382
128.5737973,35.8812763
128.5735926,35.881588
128.5733172,35.881861
128.5916782,35.8549989
128.5913427,35.855223
128.5909599,35.8553896
128.5905445,35.8554922
128.5901125,35.8555268
128.5896806,35.8554922
128.5892652,35.8553896
128.5888824,35.855223
128.5885469,35.8549989
128.5882716,35.8547257
128.588067,35.8544141
128.587941,35.8540759
128.5878984,35.8537243
128.587941,35.8533726
128.588067,35.8530345
128.5882716,35.8527229
128.588547,35.8524497
128.5888825,35.8522256
128.5892653,35.852059
128.5896806,35.8519564
128.5901125,35.8519218
128.5905445,35.8519564
128.5909598,35.852059
128.5913426,35.8522256
128.5916781,35.8524497
128.5919535,35.8527229
128.5921581,35.8530345
128.5922841,35.8533726
128.5923267,35.8537243
128.5922841,35.8540759
128.5921581,35.8544141
128.5919535,35.8547257
128.5916782,35.854998
128.6077507,35.874001
128.6074151,35.8742251
128.6070322,35.8743917
128.6066168,35.8744943
128.6061847,35.8745289
128.6057527,35.8744943
128.6053372,35.8743917
128.6049543,35.8742251
128.6046187,35.874001
128.6043433,35.8737278
128.6041386,35.8734162
128.6040126,35.8730781
128.6039701,35.8727264
128.6040126,35.8723747
128.6041387,35.8720366
128.6043433,35.871725
128.6046188,35.8714518
128.6049544,35.8712277
128.6053372,35.8710611
128.6057527,35.8709585
128.6061847,35.8709239
128.6066168,35.8709585
128.6070322,35.8710611
128.6074151,35.8712277
128.6077507,35.8714518
128.6080261,35.871725
128.6082308,35.8720366
128.6083568,35.8723747
128.6083994,35.8727264
128.6083568,35.8730781
128.6082308,35.8734162
128.6080261,35.8737278
128.6077507,35.874
128.5921181,35.8461887
128.5917826,35.8464128
128.5913999,35.8465794
128.5909845,35.846682
128.5905526,35.8467166
128.5901207,35.846682
128.5897054,35.8465794
128.5893226,35.8464128
128.5889872,35.8461887
128.5887118,35.8459155
128.5885073,35.8456039
