x,y
128.5374982,35.89470642
128.4843343,35.80140818
128.5740508,35.86266809
128.4816366,35.74221404
128.5246768,35.8928511
128.4969649,35.80872411
128.6933948,35.8349369
128.6997046,35.88263836
128.6669265,35.91676945
128.5272061,35.91795605
128.4406832,35.64793624
128.6215181,35.90805146
128.6932229,35.83529022
128.6560007,35.9146303
128.6455807,35.91677669
128.7264609,35.87561551
128.5335269,35.89435299
128.423154,35.66337217
128.64509,35.87656309
128.7136679,35.87205813
128.6861972,35.87946383
128.4351235,35.66942876
128.4970029,35.87900153
128.5617449,35.93311727
128.6417029,35.88600757
128.4682131,35.85001704
128.5718442,35.90358266
128.4382405,35.86168683
128.6272006,35.8781748
128.7088639,35.87227787
128.6107958,35.82904821
129.1239758,35.1738941
128.5565665,35.93716587
128.5373943,35.85445237
128.5448807,35.84348752
128.5247876,35.85931184
128.5423611,35.91066704
128.4918968,35.85151882
128.6542389,35.87649355
129.143744,35.15987809
128.5879134,35.91339134
128.5741722,35.86263094
129.1472865,35.22932445
128.6195511,35.85964716
128.4424368,35.71161178
128.6800204,35.8947068
128.6238016,35.83986327
128.4989097,35.85616693
128.5074704,35.83777548
128.5997531,35.86798016
128.5074324,35.81549785
128.7315555,35.86481693
128.6333604,35.88522109
128.609318,35.8549007
128.6420271,35.88003619
128.6078668,35.86203644
128.6166136,35.85472493
128.5816132,35.89997898
128.4927498,35.85153882
129.1282371,35.22841018
128.6248549,35.84937392
128.6168941,35.84235288
128.5596084,35.88347824
128.6178909,35.90544374
128.5225492,35.83679162
128.6154986,35.81464269
128.4780563,35.85079381
128.5894992,35.89567938
129.1563159,35.16211408
128.4040583,35.6365048
128.5473817,35.86526568
128.5797898,35.94600178
128.5552644,35.85247557
128.5244145,35.83203345
128.6879961,35.85230028
128.5602438,35.93858495
128.6002416,35.90490354
128.4624824,35.85505782
128.607943,35.93587321
128.5294629,35.8208739
128.5950577,35.87770582
128.4514981,35.88485219
128.5467757,35.87224007
128.5877243,35.86312207
128.6262099,35.86923161
128.6246723,35.84977231
128.4392513,35.72370908
128.5633657,35.93163339
128.6177244,35.85970024
128.6138094,35.85613937
128.6000194,35.9136687
128.4873404,35.85469382
128.5695654,35.88411124
128.6331406,35.82464732
128.5374785,35.81925427
128.5676015,35.89296401
128.6564659,35.88490166
128.5520055,35.89412943
128.4780972,35.85321872
128.5227561,35.82358179
128.6313739,35.88575371
128.5372945,35.89523109
128.7227738,35.86851284
128.5119639,35.80623664
128.5412092,35.93693043
128.6806799,35.87494732
129.1604783,35.17244341
128.5458775,35.85362151
128.6135617,35.85426641
128.5653128,35.86023053
128.4676777,35.8697388
128.6429805,35.88317355
128.5539904,35.95856438
129.1194426,35.19944288
128.6796278,35.87197352
128.6050116,35.91083705
128.6265089,35.88018274
129.1418315,35.16085972
128.557855,35.94151805
128.6759615,35.97752642
129.2038234,35.19010738
128.609737,35.82536157
128.4568683,35.91774387
128.5222401,35.82909481
128.6087512,35.86430021
128.613466,35.82920381
128.6341886,35.87492652
128.6064402,35.87652865
129.1534914,35.2324134
128.5804379,35.87791035
128.6038683,35.9083142
128.5204503,35.80776069
128.516294,35.89061432
128.5228484,35.85406319
128.6168704,35.83513157
128.5606054,35.88346944
128.6934419,35.83216865
128.4960456,35.84765281
128.5321235,35.85878022
128.5985437,35.93277712
128.740193,35.87253547
128.6358431,35.9496315
128.6039357,35.84531256
128.577485,35.88153411
128.5905118,35.866099
128.5712437,35.8721686
128.4558419,35.78616689
128.5783834,35.88652069
128.6420978,35.88573335
128.4045674,35.63366089
128.5072788,35.85151707
128.6289399,35.91719578
